Stock,Date
강스템바이오텍,2018-11-08
한화오션,2005-05-26
초록뱀미디어,2009-06-25
초록뱀미디어,2012-01-10
초록뱀미디어,2014-07-21
와이오엠,2007-01-09
KISCO홀딩스,2000-08-16
예스코홀딩스,2000-08-14
하나머티리얼즈,2020-09-11
하나머티리얼즈,2023-01-06
하나머티리얼즈,2023-03-20
진성티이씨,2001-03-30
진성티이씨,2008-07-24
휴맥스홀딩스,2020-12-21
이수스페셜티케미컬,2024-01-26
우진비앤지,2022-05-17
케이피티유,2003-06-02
케이피티유,2009-06-12
TPC,2007-01-10
TPC,2007-05-17
TPC,2022-02-25
TPC,2024-03-19
알루코,2015-11-13
대한광통신,2011-12-08
엠씨넥스,2023-03-08
대동고려삼,2016-02-18
대동고려삼,2020-10-07
에스제이지세종,2011-06-15
스맥,2020-07-13
에이루트,2012-09-03
대동금속,2010-10-08
신라교역,2000-08-17
아이디스홀딩스,2016-06-01
한샘,2021-02-09
한샘,2023-01-10
바이오니아,2007-07-25
바이오니아,2020-03-02
바이오니아,2023-04-06
강원랜드,2015-07-09
조광피혁,2000-08-17
조광피혁,2002-05-24
APS,2011-08-18
파나케이아,2009-09-08
웨이브일렉트로,2015-11-30
제일파마홀딩스,2010-12-03
청호ICT,2000-08-17
청호ICT,2009-03-17
타스컴,2022-08-16
파세코,2012-12-14
파세코,2020-04-06
하이소닉,2013-02-13
제이엠멀티,2023-05-08
미래엔에듀파트너,2015-08-27
미래엔에듀파트너,2016-08-03
현대바이오랜드,2009-10-14
STX엔진,2017-07-21
에이티넘인베스트,2008-07-28
에이티넘인베스트,2016-07-14
정원엔시스,2012-07-03
옴니시스템,2013-07-16
옴니시스템,2019-11-04
HLB제약,2019-04-05
풍국주정,2000-08-28
원일특강,2000-05-12
케이엘넷,2017-02-22
화신,2024-02-05
HLB글로벌,2021-06-04
한성크린텍,2003-07-31
한성크린텍,2023-07-31
디아이동일,2000-08-17
예림당,2003-07-03
예림당,2017-05-08
광동헬스바이오,2021-08-17
삼성제약,2003-02-27
뉴인텍,2015-12-07
차바이오텍,2008-09-19
일진홀딩스,2002-07-10
일진홀딩스,2009-02-16
라온시큐어,2010-09-07
캠시스,2011-09-07
