Stock,Buy Date,Buy Price,Sell Price,Return Rate
THE MIDONG,2019-04-05,4245,4075,-4.004711425206125
THE MIDONG,2023-04-04,1240,1370,10.483870967741936
대한뉴팜,2017-10-16,12150,12200,0.411522633744856
흥구석유,2011-12-23,1620,1500,-7.4074074074074066
우진,2022-05-04,11550,13150,13.852813852813853
KBI메탈,2004-05-11,31981,27306,-14.618054469841468
코이즈,2020-12-21,1147,1110,-3.225806451612903
인터플렉스,2003-08-11,14727,17627,19.691722686222583
인터플렉스,2009-10-28,6650,6676,0.3909774436090226
부산주공,2006-01-24,1709,1554,-9.069631363370393
테크엘,2005-08-23,21171,20419,-3.5520287185300647
썬테크,2017-09-29,21100,22250,5.450236966824645
썬테크,2019-03-13,10000,10000,0.0
GS건설,2021-06-02,45400,43100,-5.066079295154185
데이터스트림즈,2019-07-16,4395,3800,-13.538111490329921
삼부토건,2004-09-17,50159,74965,49.454733946051554
삼부토건,2018-04-20,1660,2150,29.518072289156628
한독,2003-06-10,5134,5441,5.979742890533697
아진산업,2020-09-15,2660,2750,3.3834586466165413
바이오솔루션,2022-09-16,14600,13700,-6.164383561643835
HJ중공업,2014-04-01,140698,129523,-7.9425436040313295
인선이엔티,2011-08-19,3585,3365,-6.136680613668061
금호타이어,2007-08-30,47476,47476,0.0
세화피앤씨,2018-11-08,2588,2498,-3.4775888717156103
세화피앤씨,2019-04-08,1627,1672,2.7658266748617084
퍼스텍,2019-11-05,2270,2090,-7.929515418502203
로보로보,2017-12-27,2698,3620,34.173461823573014
현대에이치티,2001-07-09,1910,1830,-4.18848167539267
현대에이치티,2011-08-18,3105,3200,3.059581320450886
현대에이치티,2011-10-18,3805,4215,10.775295663600525
엄지하우스,2022-11-22,4750,4715,-0.7368421052631579
CBI,2000-04-25,690,620,-10.144927536231885
CBI,2001-04-26,900,790,-12.222222222222221
화승인더스트리,2002-05-09,1059,1028,-2.927289896128423
화승인더스트리,2016-02-29,7870,7820,-0.6353240152477764
대원제약,2000-11-16,1059,1101,3.9660056657223794
HD현대일렉트릭,2020-07-13,8250,8000,-3.0303030303030303
코미코,2019-04-04,28200,27000,-4.25531914893617
